ID_ALUNO,NU_ANO_CENSO,NO_CURSO,CO_ALUNO_CURSO,CO_ALUNO_CURSO_ORIGEM,TP_SEXO,NU_IDADE
99FF3C1D847F48EE737A44FC881F9E3D,2019,ADMINISTRAÇÃO,40744718,"",2,26
086954F4A59DE32AB2CAAAAED7260A63,2019,ADMINISTRAÇÃO,41003710,"",1,23
61116E1DCE28C6271507962D614F4307,2019,ADMINISTRAÇÃO,40744842,"",2,27
59308A5EC7C47A4013DAB4C4DFB87620,2019,ADMINISTRAÇÃO,40744856,"",2,24
7AAE2347EE8E1714B844BED7B3116D77,2019,ADMINISTRAÇÃO,40745066,"",1,29
CA6E0A596C802E67E89E98D9C2F4488B,2019,ADMINISTRAÇÃO,40745215,"",1,24
34D311F14A4FDDB6D1559CDC2D1191FF,2019,ADMINISTRAÇÃO,40745291,"",1,24
5F2485571A092D6D51CDF23CBFE73AAA,2019,ADMINISTRAÇÃO,41012299,"",1,24
3460FFA8AD38A74E77F53A86CD411BCF,2019,ADMINISTRAÇÃO,40745475,"",2,25
78D747B2356A6879966B2A08AD78ACFD,2019,ADMINISTRAÇÃO,41014036,"",2,26
1C61F2ACB6D0D41E3EB7C2AF68D9DDFC,2019,ADMINISTRAÇÃO,40745577,"",2,25
3A2E0243DAC72E544B049E430B6DBA77,2019,ADMINISTRAÇÃO,41015150,"",1,25
B0E1F2ED98B6DC5E6886271CE108BDC7,2019,ADMINISTRAÇÃO,41015174,"",2,24
94BC3E8A4ABC92D890319CBA4DEA8EB5,2019,ADMINISTRAÇÃO,40745692,"",1,24
F4699A465322DD1DE725B1A54AF95ECB,2019,ADMINISTRAÇÃO,40745720,"",1,24
294AF35459B7716AF2CAFAA74ADFF32D,2019,ADMINISTRAÇÃO,40745756,"",2,25
9450D6B68EAC412D8496C2FD54886F8B,2019,ADMINISTRAÇÃO,41016939,"",1,26
C264DD18F3530EEF5A28C32B2FF8C4FF,2019,ADMINISTRAÇÃO,40746075,"",2,24
8B5FDCA21A4C8E322317E947808D21E5,2019,ADMINISTRAÇÃO,41021589,"",1,25
C9B8899E382F8F3A9403918975B89675,2019,ADMINISTRAÇÃO,41025748,"",2,24
35B3D5BCDE2C1A97FD0B4AE0B8FB296C,2019,ADMINISTRAÇÃO,41041683,"",2,26
C500244F2E398F9EEBFDB15CEAD59C2A,2019,ADMINISTRAÇÃO,41046846,"",1,48
F7200A1CB05980FE78CD34D8DD25C9C6,2019,ADMINISTRAÇÃO,41003817,"",2,25
FD27C91473E31BB23E9721A783CB851F,2019,ADMINISTRAÇÃO,41021327,"",2,24
F9CB8CFEEE6F061E1511C749BCC9F6E9,2019,ADMINISTRAÇÃO,41014639,"",2,24
CAEAC60FC8172D42ABF40536D6A48B8E,2019,ADMINISTRAÇÃO,40744701,"",1,25
FF923B4DCE6029AF2A02EC419DF9EEEC,2019,ADMINISTRAÇÃO,41021629,"",1,24
5897D0CB5A2230504BE52D4CA413F3E2,2019,ADMINISTRAÇÃO,41003663,"",2,25
51DF26FCFF27AA7A7904FE3968D5CA0E,2019,ADMINISTRAÇÃO,41021637,"",1,25
ED485D6048EC117766BAA8326D827161,2019,ADMINISTRAÇÃO,41014188,"",2,25
ADBB005C25148744B3192CBB4EC7D490,2019,ADMINISTRAÇÃO,40744392,"",2,25
5BE4ECC8888AC5AEB35DFF8CB3B7AAED,2019,ADMINISTRAÇÃO,40745821,"",2,24
CAA1E248EEDF2D20FA3DCE3F421CB66A,2019,ADMINISTRAÇÃO,41013173,"",2,26
8068AA6DF7B62C078A68A5554DD1C3CF,2019,ADMINISTRAÇÃO,41013979,"",2,25
C9F01BB27327E8567B8512E7D05912AE,2019,ADMINISTRAÇÃO,41046677,"",2,45
877B1F6F32ECCB53DC6E29A998B03B5D,2019,ADMINISTRAÇÃO,41018067,"",1,25
063BFB84ED5CE15585021A1682C398EC,2019,ADMINISTRAÇÃO,40998424,"",2,33
1535DE0E57B217883FCA9A593CE807C7,2019,ADMINISTRAÇÃO,40998056,"",2,36
4352794290F4BCAAA349EE86E3D54E88,2019,ADMINISTRAÇÃO,41021776,"",1,24
89E5981E15A954BEBFC57EE50604307F,2019,ADMINISTRAÇÃO,41025541,"",2,25
77990F254899A937468510D6D9E0601B,2019,ADMINISTRAÇÃO,40996253,"",2,25
FBAF8CB82EF8E061951FBB3A7D7E2B24,2019,ADMINISTRAÇÃO,41025375,"",1,25
4DC80FB7333503C6D3AFC0CD1DC134C3,2019,ADMINISTRAÇÃO,41021307,"",2,24
8B9B65E282A55742016C29BA9FBA8350,2019,ADMINISTRAÇÃO,41014479,"",2,24
60956CB93D85D61EBB00A61CC6CE484D,2019,ADMINISTRAÇÃO,41015194,"",1,24
45AEAA4AA31E0B9DCBC98AC7876BA3D5,2019,ADMINISTRAÇÃO,41019115,"",2,24
EFFD34215BDDFF83D68576DD5E4EC815,2019,ADMINISTRAÇÃO,41008301,"",1,27
3A9ECB88A3D12107C5D3A0F7E34CF07E,2019,ADMINISTRAÇÃO,41023453,"",1,23
27CB98AD24B2491917EF14CCB1A4CAD3,2019,ADMINISTRAÇÃO,40999776,"",2,29
59524CD4B5E8E036D9680821CF157761,2019,ADMINISTRAÇÃO,40744122,"",2,36
EE8EC9EFE38559846CE90A9C637069A7,2019,ADMINISTRAÇÃO,40745707,"",1,23
7ED5F63B34D15390FB377E6148856DDD,2019,ADMINISTRAÇÃO,41009789,"",2,26
